Date,SQ
01012018,16
02012018,0
03012018,5
04012018,14
05012018,2
06012018,5
07012018,52
08012018,0
09012018,0
10012018,11
11012018,2
12012018,0
13012018,5
14012018,50
15012018,0
16012018,32
17012018,36
18012018,37
19012018,39
20012018,0
21012018,11
22012018,34
23012018,12
24012018,5
25012018,5
26012018,42
27012018,29
28012018,9
29012018,3
30012018,79
31012018,7
01022018,48
02022018,38
03022018,0
04022018,59
05022018,82
06022018,68
07022018,81
08022018,70
09022018,0
10022018,63
11022018,59
12022018,80
13022018,90
14022018,67
15022018,38
16022018,90
17022018,69
18022018,85
19022018,0
20022018,11
21022018,92
22022018,94
23022018,92
24022018,97
25022018,97
26022018,89
27022018,98
28022018,100
01032018,19
02032018,0
03032018,55
04032018,40
05032018,72
06032018,21
07032018,2
08032018,51
09032018,18
10032018,2
11032018,39
12032018,28
13032018,5
14032018,90
15032018,5
16032018,45
17032018,4
18032018,17
19032018,100
20032018,95
21032018,82
22032018,0
23032018,16
24032018,77
25032018,6
26032018,90
27032018,5
28032018,0
29032018,75
30032018,12
31032018,31
01042018,25
02042018,13
03042018,36
04042018,55
05042018,57
06042018,113
07042018,88
08042018,50
09042018,13
10042018,84
11042018,27
12042018,0
13042018,11
14042018,62
15042018,26
16042018,93
17042018,113
18042018,127
19042018,129
20042018,128
21042018,131
22042018,105
23042018,120
24042018,16
25042018,98
26042018,100
27042018,12
28042018,12
29042018,0
30042018,0
01052018,93
02052018,84
03052018,128
04052018,140
05052018,140
06052018,140
07052018,140
08052018,140
09052018,124
10052018,79
11052018,123
12052018,49
13052018,25
14052018,2
15052018,130
16052018,21
17052018,108
18052018,32
19052018,2
20052018,116
21052018,63
22052018,97
23052018,46
24052018,71
25052018,66
26052018,105
27052018,37
28052018,127
29052018,64
30052018,76
31052018,51
01062018,0
02062018,22
03062018,124
04062018,30
05062018,39
06062018,150
07062018,40
08062018,67
09062018,89
10062018,108
11062018,126
12062018,20
13062018,110
14062018,36
15062018,104
16062018,52
17062018,8
18062018,31
19062018,20
20062018,85
21062018,105
22062018,94
23062018,127
24062018,78
25062018,89
26062018,151
27062018,150
28062018,153
29062018,153
30062018,152
01072018,153
02072018,153
03072018,128
04072018,131
05072018,127
06072018,130
07072018,103
08072018,131
09072018,70
10072018,3
11072018,116
12072018,81
13072018,91
14072018,150
15072018,139
16072018,109
17072018,141
18072018,130
19072018,118
20072018,70
21072018,140
22072018,76
23072018,146
24072018,124
25072018,101
26072018,131
27072018,82
28072018,94
29072018,30
30072018,46
31072018,113
01082018,110
02082018,130
03082018,141
04082018,114
05082018,138
06082018,138
07082018,88
08082018,50
09082018,4
10082018,67
11082018,126
12082018,42
13082018,61
14082018,44
15082018,13
16082018,58
17082018,119
18082018,20
19082018,29
20082018,20
21082018,78
22082018,61
23082018,7
24082018,78
25082018,101
26082018,23
27082018,38
28082018,18
29082018,0
30082018,99
31082018,69
01092018,118
02092018,125
03092018,1
04092018,0
05092018,28
06092018,33
07092018,98
08092018,32
09092018,69
10092018,65
11092018,91
12092018,5
13092018,100
14092018,67
15092018,92
16092018,61
17092018,112
18092018,94
19092018,72
20092018,61
21092018,62
22092018,2
23092018,2
24092018,76
25092018,97
26092018,97
27092018,108
28092018,50
29092018,108
30092018,89
01102018,76
02102018,40
03102018,65
04102018,64
05102018,104
06102018,76
07102018,85
08102018,77
09102018,97
10102018,100
11102018,78
12102018,63
13102018,81
14102018,90
15102018,86
16102018,82
17102018,71
18102018,33
19102018,74
20102018,59
21102018,69
22102018,62
23102018,24
24102018,0
25102018,0
26102018,1
27102018,20
28102018,88
29102018,0
30102018,0
31102018,66
01112018,31
02112018,68
03112018,59
04112018,82
05112018,76
06112018,50
07112018,3
08112018,82
09112018,40
10112018,10
11112018,16
12112018,7
13112018,63
14112018,54
15112018,76
16112018,0
17112018,76
18112018,66
19112018,22
20112018,0
21112018,70
22112018,12
23112018,39
24112018,2
25112018,0
26112018,0
27112018,3
28112018,0
29112018,0
30112018,54
01122018,2
02122018,4
03122018,10
04122018,62
05122018,0
06122018,0
07122018,0
08122018,25
09122018,22
10122018,48
11122018,36
12122018,67
13122018,70
14122018,7
15122018,55
16122018,0
17122018,43
18122018,21
19122018,33
20122018,22
21122018,0
22122018,52
23122018,0
24122018,5
25122018,65
26122018,31
27122018,15
28122018,0
29122018,0
30122018,0
31122018,43
